r,sram_mib,tensor_cores,total_time_ms,effective_tflops,router_time_ms,up_gate_x512_time_ms,down_x512_time_ms
1.1052951411260198e-05,0.010585385370279744,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
1.1486842567375548e-05,0.011000921902138389,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
1.1937766417144358e-05,0.011432770604340253,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
1.2406391590588317e-05,0.011881571822272407,4625.0,76.84828461176471,64.71936431495304,0.3968140549019608,50.792199027450984,25.65927152941176
1.2893412965257156e-05,0.012347991038517315,4625.0,72.6375323607843,68.47110532423788,0.3968140549019608,50.792199027450984,21.44851927843137
1.339955269659337e-05,0.012832719859630703,4625.0,72.6375323607843,68.47110532423788,0.3968140549019608,50.792199027450984,21.44851927843137
1.3925561288744619e-05,0.013336477041656027,4625.0,72.6375323607843,68.47110532423788,0.3968140549019608,50.792199027450984,21.44851927843137
1.4472218707411344e-05,0.01386000955589603,4625.0,72.6375323607843,68.47110532423788,0.3968140549019608,50.792199027450984,21.44851927843137
1.504033553638022e-05,0.014404093696522067,4625.0,72.6375323607843,68.47110532423788,0.3968140549019608,50.792199027450984,21.44851927843137
1.5630754179458174e-05,0.014969536231663477,4625.0,72.6375323607843,68.47110532423788,0.3968140549019608,50.792199027450984,21.44851927843137
1.6244350109588655e-05,0.015557175599683266,4625.0,72.6375323607843,68.47110532423788,0.3968140549019608,50.792199027450984,21.44851927843137
1.6882033167003627e-05,0.016167883152415203,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
1.7544748908334598e-05,0.01680256444720424,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
1.8233480008684384e-05,0.01746216058966734,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
1.8949247718738237e-05,0.01814764962916533,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
1.969311337907422e-05,0.018860048009054362,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
2.04661799939199e-05,0.01960041207386899,4625.0,57.80120997647059,86.04615942802262,0.29812454901960783,38.1599422745098,19.343143152941177
